Codigo	Latitude	Longitude	Tipo
147016	-1.5517	-47.1172	2
147017	-1.0386	-47.9133	2
147018	-1.3569	-47.5742	2
147019	-1.2111	-47.3864	2
147020	-1.2	-47.18	2
147021	-1.771	-47.437	2
147022	-1.7439	-47.5023	2
148000	-1.35	-48.1333	2
148001	-1.45	-48.5	2
148002	-1.435	-48.4378	2
148003	-1.2964	-48.1708	2
148004	-1.3833	-48.4667	2
148005	-1.0167	-48.9333	2
148006	-1.2	-48.7667	2
148007	-1.35	-48.1333	2
148008	-1.35	-48.7833	2
148009	-1.9611	-48.2064	2
148010	-1.7503	-48.8669	2
148011	-1.5656	-48.7669	2
148012	-1.0942	-48.3986	2
148013	-1.4667	-48.45	2
148014	-1.4747	-48.4531	2
148017	-1.5211	-48.0461	2
148018	-1.9706	-48.9339	2
148019	-1.4647	-48.5044	2
148020	-1.5167	-48.6667	2
148021	-1.455	-48.4017	2
148022	-1.0669	-48.3789	2
149000	-1.5	-49.2167	2
149001	-1.8167	-49.8167	2
149002	-1.7167	-49.5167	2
149003	-2.0019	-49.8636	2
149004	-1.8975	-49.3817	2
149005	-1.7167	-49.5167	2
149006	-1.5364	-49.2322	2
150000	-1.6833	-50.4833	2
150001	-1.68	-50.4781	2
150002	-1.1833	-50.4667	2
150003	-1.7917	-50.4347	2
151000	-1.1233	-51.9964	2
151001	-1.7922	-51.4344	2
151002	-1.2131	-51.2622	2
151003	-1.5825	-51.9178	2
152000	-1.7531	-52.24	2
152001	-1.7333	-52.2333	2
152002	-1.5333	-52.5667	2
152003	-1.75	-52.2333	2
152004	-1.2833	-52.9667	2
152005	-1.5264	-52.5783	2
152006	-1.0819	-53.1575	2
153000	-1.8011	-53.48	2
154000	-1.7736	-54.3972	2
154001	-1.5	-54.8714	2
154002	-1.9333	-54.7667	2
154003	-1.9428	-54.7392	2
155000	-1.7597	-55.8614	2
155001	-1.9014	-55.5186	2
155002	-1.8881	-55.1156	2
155003	-1.9192	-55.5131	2
156000	-1.1014	-56.04	2
156001	-1.4583	-56.3833	2
156002	-1.4556	-56.4025	2
156003	-1.4667	-56.3833	2
156004	-1.3706	-56.8519	2
157000	-1.0875	-57.0469	2
157001	-1.4378	-57.8275	2
157002	-1.8683	-57.0506	2
